Level,Type,Location x,Location y,Location z,Y1,Y2,R1,R2,RW1,RW2
10,0,1.5,-2,-2.5,0,0,1,1,,
11,2,-1,2.95,-1.99,0,0,,,,
11,2,-1.8,1.2,-1.99,1,0,,,,
11,2,-0.2,1.2,-1.99,1,0,,,,
11,2,1.2,1.2,-1.99,0,0,,,,
11,2,0.5,-0.5,-1.99,3,4,,,,
11,1,-1.8,1.2,-2,0,1,0,0,,
11,0,-2,-2,-2.5,0,1,0,0,,
11,0,-0.75,-2,-2.5,0,0,0,0,,
11,0,0.75,-2,-2.5,0,0,1,1,,
11,0,2,-2,-2.5,0,0,0,1,,
12,2,-2,2.95,-1.99,0,0,,,,
12,2,-0.75,2.95,-1.99,0,0,,,,
12,2,0.75,2.95,-1.99,0,0,,,,
12,2,2,2.95,-1.99,0,0,,,,
12,2,-1.3,1.2,-1.99,1,2,,,,
12,2,1.3,1.2,-1.99,3,4,,,,
12,2,0,-0.5,-1.99,5,6,,,,
12,1,0,-0.5,-2,1,1,0,1,,
12,0,-1.5,-2,-2.5,0,0,0,1,,
12,0,0,-2,-2.5,1,1,0,0,,
12,0,1.5,-2,-2.5,0,1,0,9,,
12,0,-1.5,-3.5,-2.5,0,1,1,1,,
12,0,0,-3.5,-2.5,0,1,0,0,,
12,0,1.5,-3.5,-2.5,1,1,0,9,,
13,2,-1.25,2.95,-1.99,0,0,,,,
13,2,1.25,2.95,-1.99,0,0,,,,
13,2,-1.8,1.2,-1.99,1,0,,,,
13,2,-0.5,1.2,-1.99,1,0,,,,
13,2,1.25,1.2,-1.99,2,0,,,,
13,2,0,-0.5,-1.99,3,5,,,,
13,1,-0.5,1.2,-2,0,0,0,9,,
13,1,1.25,1.2,-2,0,1,1,1,,
13,0,-2,-2,-2.5,0,1,0,0,,
13,0,-0.75,-2,-2.5,1,1,0,1,,
13,0,0.75,-2,-2.5,0,0,0,0,,
13,0,2,-2,-2.5,0,1,0,1,,
14,2,-2,2.95,-1.99,0,0,,,,
14,2,-0.75,2.95,-1.99,0,0,,,,
14,2,0.75,2.95,-1.99,0,0,,,,
14,2,2,2.95,-1.99,0,0,,,,
14,2,-2,1.2,-1.99,1,2,,,,
14,2,-0.75,1.2,-1.99,1,2,,,,
14,2,1.3,1.2,-1.99,3,4,,,,
14,2,0.4,-0.5,-1.99,6,7,,,,
14,1,0.75,2.95,-2,0,0,0,0,,
14,1,-2,1.2,-2,1,1,1,1,,
14,0,-1.5,-2,-2.5,0,1,0,9,,
14,0,0,-2,-2.5,0,0,0,1,,
14,0,1.5,-2,-2.5,0,1,1,1,,
14,0,-1.5,-3.5,-2.5,0,0,0,1,,
14,0,0,-3.5,-2.5,0,1,1,1,,
14,0,1.5,-3.5,-2.5,0,1,0,1,,
15,2,-2,2.95,-1.99,0,0,,,,
15,2,-0.75,2.95,-1.99,0,0,,,,
15,2,0.75,2.95,-1.99,0,0,,,,
15,2,-2,1.2,-1.99,1,2,,,,
15,2,-0.75,1.2,-1.99,1,2,,,,
15,2,0.75,1.2,-1.99,3,0,,,,
15,2,2,1.2,-1.99,0,0,,,,
15,2,0,-0.5,-1.99,5,6,,,,
15,2,1.3,-0.5,-1.99,6,7,,,,
15,1,-0.75,2.95,-2,0,1,0,1,,
15,1,2,1.2,-2,0,1,0,1,,
15,0,-1.5,-2,-2.5,1,1,0,0,,
15,0,0,-2,-2.5,0,0,0,1,,
15,0,1.5,-2,-2.5,1,1,0,1,,
15,0,-2,-3.5,-2.5,0,1,0,1,,
15,0,-0.75,-3.5,-2.5,0,0,0,1,,
15,0,0.75,-3.5,-2.5,0,0,1,1,,
15,0,2,-3.5,-2.5,0,1,1,1,,
